Code,Population,Sex,Year
1001.0,498283.0,Total,1990
1002.0,33428.0,Total,1990
1003.0,49965.0,Total,1990
1004.0,10698.0,Total,1990
1005.0,43207.0,Total,1990
1006.0,27632.0,Total,1990
1007.0,34682.0,Total,1990
1008.0,6947.0,Total,1990
1009.0,15301.0,Total,1990
1010.0,12154.0,Total,1990
1011.0,14983.0,Total,1990
2001.0,267701.0,Total,1990
2002.0,619650.0,Total,1990
2003.0,52855.0,Total,1990
2004.0,754581.0,Total,1990
2005.0,29357.0,Total,1990
3001.0,67356.0,Total,1990
3002.0,40499.0,Total,1990
3003.0,165386.0,Total,1990
3008.0,45435.0,Total,1990
3009.0,8550.0,Total,1990
4001.0,40233.0,Total,1990
4002.0,180839.0,Total,1990
4003.0,127354.0,Total,1990
4004.0,65074.0,Total,1990
4005.0,20788.0,Total,1990
4006.0,26187.0,Total,1990
4007.0,7345.0,Total,1990
4008.0,6865.0,Total,1990
4009.0,42719.0,Total,1990
4010.0,14601.0,Total,1990
4011.0,25500.0,Total,1990
5001.0,1446.0,Total,1990
5002.0,56805.0,Total,1990
5003.0,18906.0,Total,1990
5004.0,18001.0,Total,1990
5005.0,1914.0,Total,1990
5006.0,21868.0,Total,1990
5007.0,12786.0,Total,1990
5008.0,3028.0,Total,1990
5009.0,51878.0,Total,1990
5010.0,62845.0,Total,1990
5011.0,12287.0,Total,1990
5012.0,2408.0,Total,1990
5013.0,1234.0,Total,1990
5014.0,9073.0,Total,1990
5015.0,1689.0,Total,1990
5016.0,2041.0,Total,1990
5017.0,87911.0,Total,1990
5018.0,183686.0,Total,1990
5019.0,6731.0,Total,1990
5020.0,66882.0,Total,1990
5021.0,5794.0,Total,1990
5022.0,17492.0,Total,1990
5023.0,12997.0,Total,1990
5024.0,40956.0,Total,1990
5025.0,101940.0,Total,1990
5026.0,4076.0,Total,1990
5027.0,30197.0,Total,1990
5028.0,48517.0,Total,1990
5029.0,2012.0,Total,1990
5030.0,458221.0,Total,1990
5031.0,20589.0,Total,1990
5032.0,41279.0,Total,1990
5033.0,100838.0,Total,1990
5034.0,5603.0,Total,1990
5035.0,479590.0,Total,1990
5036.0,21866.0,Total,1990
5037.0,6069.0,Total,1990
5038.0,11727.0,Total,1990
6001.0,28415.0,Total,1990
6002.0,118750.0,Total,1990
6003.0,17184.0,Total,1990
6004.0,16274.0,Total,1990
6005.0,25062.0,Total,1990
6006.0,5231.0,Total,1990
6007.0,96163.0,Total,1990
6008.0,8354.0,Total,1990
6009.0,84738.0,Total,1990
6010.0,41841.0,Total,1990
7001.0,11842.0,Total,1990
7002.0,21895.0,Total,1990
7003.0,24773.0,Total,1990
7004.0,17183.0,Total,1990
7005.0,14758.0,Total,1990
7006.0,22863.0,Total,1990
7007.0,6155.0,Total,1990
7008.0,18266.0,Total,1990
7009.0,37973.0,Total,1990
7010.0,6206.0,Total,1990
7011.0,17264.0,Total,1990
7012.0,22596.0,Total,1990
7013.0,15195.0,Total,1990
7014.0,14343.0,Total,1990
7015.0,35813.0,Total,1990
7016.0,15115.0,Total,1990
7017.0,61839.0,Total,1990
7018.0,5917.0,Total,1990
7019.0,82824.0,Total,1990
7020.0,34589.0,Total,1990
7021.0,16548.0,Total,1990
7022.0,9514.0,Total,1990
7023.0,51676.0,Total,1990
7024.0,7543.0,Total,1990
7025.0,5762.0,Total,1990
7026.0,29180.0,Total,1990
7027.0,48887.0,Total,1990
7028.0,4597.0,Total,1990
7029.0,4845.0,Total,1990
7030.0,25907.0,Total,1990
7031.0,68158.0,Total,1990
7032.0,26037.0,Total,1990
7033.0,3890.0,Total,1990
7034.0,45855.0,Total,1990
7035.0,9637.0,Total,1990
7036.0,5506.0,Total,1990
7037.0,29287.0,Total,1990
7038.0,18463.0,Total,1990
7039.0,16314.0,Total,1990
7040.0,46226.0,Total,1990
7041.0,28075.0,Total,1990
7042.0,7406.0,Total,1990
7043.0,7530.0,Total,1990
7044.0,13852.0,Total,1990
7045.0,4385.0,Total,1990
7046.0,36028.0,Total,1990
7047.0,10004.0,Total,1990
7048.0,21526.0,Total,1990
7049.0,14609.0,Total,1990
7050.0,5281.0,Total,1990
7051.0,36682.0,Total,1990
7052.0,78851.0,Total,1990
7053.0,7755.0,Total,1990
7054.0,22171.0,Total,1990
7055.0,4081.0,Total,1990
7056.0,6526.0,Total,1990
7057.0,49397.0,Total,1990
7058.0,3130.0,Total,1990
7059.0,103656.0,Total,1990
7060.0,6458.0,Total,1990
7061.0,50775.0,Total,1990
7062.0,15770.0,Total,1990
7063.0,2767.0,Total,1990
7064.0,36420.0,Total,1990
7065.0,68066.0,Total,1990
7066.0,13080.0,Total,1990
7067.0,7093.0,Total,1990
7068.0,27480.0,Total,1990
7069.0,45275.0,Total,1990
7070.0,10974.0,Total,1990
7071.0,24643.0,Total,1990
7072.0,17887.0,Total,1990
7073.0,5628.0,Total,1990
7074.0,31639.0,Total,1990
7075.0,17454.0,Total,1990
7076.0,17963.0,Total,1990
7077.0,43293.0,Total,1990
7078.0,94934.0,Total,1990
7079.0,21637.0,Total,1990
7080.0,30464.0,Total,1990
7081.0,27119.0,Total,1990
7082.0,6439.0,Total,1990
7083.0,12667.0,Total,1990
7084.0,6548.0,Total,1990
7085.0,6479.0,Total,1990
7086.0,12728.0,Total,1990
7087.0,26774.0,Total,1990
7088.0,1668.0,Total,1990
7089.0,229147.0,Total,1990
7090.0,3387.0,Total,1990
7091.0,8576.0,Total,1990
7092.0,34464.0,Total,1990
7093.0,27272.0,Total,1990
7094.0,18833.0,Total,1990
7096.0,48644.0,Total,1990
7097.0,69828.0,Total,1990
7098.0,4293.0,Total,1990
7099.0,59840.0,Total,1990
7100.0,23265.0,Total,1990
7101.0,315078.0,Total,1990
7102.0,33171.0,Total,1990
7103.0,23455.0,Total,1990
7104.0,10179.0,Total,1990
7105.0,13718.0,Total,1990
7106.0,46019.0,Total,1990
7107.0,56670.0,Total,1990
7108.0,75675.0,Total,1990
7109.0,23026.0,Total,1990
7110.0,4302.0,Total,1990
7111.0,22572.0,Total,1990
7112.0,22621.0,Total,1990
7113.0,3900.0,Total,1990
7114.0,9130.0,Total,1990
7115.0,11628.0,Total,1990
7116.0,6455.0,Total,1990
7117.0,4538.0,Total,1990
7118.0,2690.0,Total,1990
7119.0,1456.0,Total,1990
8001.0,12420.0,Total,1990
8002.0,18150.0,Total,1990
8003.0,9759.0,Total,1990
8004.0,3780.0,Total,1990
8005.0,16966.0,Total,1990
8006.0,8230.0,Total,1990
8007.0,15580.0,Total,1990
8008.0,9942.0,Total,1990
8009.0,23243.0,Total,1990
8010.0,18371.0,Total,1990
8011.0,47184.0,Total,1990
8012.0,9733.0,Total,1990
8013.0,10830.0,Total,1990
8014.0,2939.0,Total,1990
8015.0,2354.0,Total,1990
8016.0,4082.0,Total,1990
8017.0,115702.0,Total,1990
8018.0,7583.0,Total,1990
8019.0,555098.0,Total,1990
8020.0,7403.0,Total,1990
8021.0,107021.0,Total,1990
8022.0,5479.0,Total,1990
8023.0,3251.0,Total,1990
8024.0,5422.0,Total,1990
8025.0,10312.0,Total,1990
8026.0,5481.0,Total,1990
8027.0,35401.0,Total,1990
8028.0,9177.0,Total,1990
8029.0,36192.0,Total,1990
8030.0,9987.0,Total,1990
8031.0,42584.0,Total,1990
8032.0,93793.0,Total,1990
8033.0,1774.0,Total,1990
8034.0,9090.0,Total,1990
8035.0,11158.0,Total,1990
8036.0,38668.0,Total,1990
8037.0,833344.0,Total,1990
8038.0,5751.0,Total,1990
8039.0,4924.0,Total,1990
