Population,Code,Sex,Year
804009,1001,Total,2010
816822,1001,Total,2011
829289,1001,Total,2012
841408,1001,Total,2013
853207,1001,Total,2014
864687,1001,Total,2015
875860,1001,Total,2016
886741,1001,Total,2017
897331,1001,Total,2018
907623,1001,Total,2019
917585,1001,Total,2020
927282,1001,Total,2021
936772,1001,Total,2022
946009,1001,Total,2023
954989,1001,Total,2024
963701,1001,Total,2025
972151,1001,Total,2026
980353,1001,Total,2027
988306,1001,Total,2028
996009,1001,Total,2029
1003418,1001,Total,2030
390106,1001,Males,2010
396597,1001,Males,2011
402697,1001,Males,2012
408587,1001,Males,2013
414286,1001,Males,2014
419799,1001,Males,2015
425135,1001,Males,2016
430305,1001,Males,2017
435311,1001,Males,2018
440152,1001,Males,2019
444806,1001,Males,2020
449324,1001,Males,2021
453749,1001,Males,2022
458047,1001,Males,2023
462217,1001,Males,2024
466254,1001,Males,2025
470160,1001,Males,2026
473944,1001,Males,2027
477604,1001,Males,2028
481141,1001,Males,2029
484533,1001,Males,2030
413903,1001,Females,2010
420225,1001,Females,2011
426592,1001,Females,2012
432821,1001,Females,2013
438920,1001,Females,2014
444888,1001,Females,2015
450725,1001,Females,2016
456436,1001,Females,2017
462020,1001,Females,2018
467471,1001,Females,2019
472779,1001,Females,2020
477958,1001,Females,2021
483024,1001,Females,2022
487962,1001,Females,2023
492772,1001,Females,2024
497447,1001,Females,2025
501991,1001,Females,2026
506410,1001,Females,2027
510702,1001,Females,2028
514868,1001,Females,2029
518885,1001,Females,2030
45972,1002,Total,2010
46638,1002,Total,2011
47303,1002,Total,2012
47965,1002,Total,2013
48624,1002,Total,2014
49281,1002,Total,2015
49934,1002,Total,2016
50585,1002,Total,2017
51232,1002,Total,2018
51875,1002,Total,2019
52512,1002,Total,2020
53146,1002,Total,2021
53781,1002,Total,2022
54413,1002,Total,2023
55044,1002,Total,2024
55674,1002,Total,2025
56299,1002,Total,2026
56913,1002,Total,2027
57516,1002,Total,2028
58109,1002,Total,2029
58690,1002,Total,2030
22758,1002,Males,2010
23127,1002,Males,2011
23472,1002,Males,2012
23808,1002,Males,2013
24135,1002,Males,2014
24454,1002,Males,2015
24768,1002,Males,2016
25076,1002,Males,2017
25379,1002,Males,2018
25678,1002,Males,2019
25971,1002,Males,2020
26261,1002,Males,2021
26552,1002,Males,2022
26841,1002,Males,2023
27129,1002,Males,2024
27416,1002,Males,2025
27700,1002,Males,2026
27978,1002,Males,2027
28252,1002,Males,2028
28520,1002,Males,2029
28782,1002,Males,2030
23214,1002,Females,2010
23512,1002,Females,2011
23830,1002,Females,2012
24157,1002,Females,2013
24489,1002,Females,2014
24826,1002,Females,2015
25167,1002,Females,2016
25509,1002,Females,2017
25853,1002,Females,2018
26197,1002,Females,2019
26541,1002,Females,2020
26885,1002,Females,2021
27229,1002,Females,2022
