AgeGroup,Females,Males,Total,Year,StateCode,StateName
0-4,58465.0,59075.0,117540.0,1990,1,Aguascalientes
10-14,51387.0,53154.0,104541.0,1990,1,Aguascalientes
15-19,48551.0,49798.0,98349.0,1990,1,Aguascalientes
20-24,42324.0,41992.0,84316.0,1990,1,Aguascalientes
25-29,34496.0,33603.0,68099.0,1990,1,Aguascalientes
30-34,27998.0,27184.0,55182.0,1990,1,Aguascalientes
35-39,22413.0,21580.0,43993.0,1990,1,Aguascalientes
40-44,17587.0,16666.0,34253.0,1990,1,Aguascalientes
45-49,13779.0,12930.0,26709.0,1990,1,Aguascalientes
5-9,53455.0,54111.0,107566.0,1990,1,Aguascalientes
50-54,10896.0,10164.0,21060.0,1990,1,Aguascalientes
55-59,9130.0,8479.0,17609.0,1990,1,Aguascalientes
60-64,7726.0,7100.0,14826.0,1990,1,Aguascalientes
65-69,6065.0,5600.0,11665.0,1990,1,Aguascalientes
70-74,4238.0,3863.0,8101.0,1990,1,Aguascalientes
75-79,2749.0,2428.0,5177.0,1990,1,Aguascalientes
80-84,1779.0,1485.0,3264.0,1990,1,Aguascalientes
85plus,1111.0,866.0,1977.0,1990,1,Aguascalientes
0-4,59378.0,60160.0,119538.0,1991,1,Aguascalientes
10-14,51782.0,53395.0,105177.0,1991,1,Aguascalientes
15-19,49478.0,50726.0,100204.0,1991,1,Aguascalientes
20-24,43670.0,43187.0,86857.0,1991,1,Aguascalientes
25-29,35809.0,34757.0,70566.0,1991,1,Aguascalientes
30-34,29115.0,28176.0,57291.0,1991,1,Aguascalientes
35-39,23449.0,22552.0,46001.0,1991,1,Aguascalientes
40-44,18379.0,17422.0,35801.0,1991,1,Aguascalientes
45-49,14406.0,13503.0,27909.0,1991,1,Aguascalientes
5-9,53922.0,54369.0,108291.0,1991,1,Aguascalientes
50-54,11267.0,10490.0,21757.0,1991,1,Aguascalientes
55-59,9294.0,8648.0,17942.0,1991,1,Aguascalientes
60-64,7948.0,7257.0,15205.0,1991,1,Aguascalientes
65-69,6311.0,5817.0,12128.0,1991,1,Aguascalientes
70-74,4478.0,4064.0,8542.0,1991,1,Aguascalientes
75-79,2835.0,2505.0,5340.0,1991,1,Aguascalientes
80-84,1838.0,1531.0,3369.0,1991,1,Aguascalientes
85plus,1264.0,980.0,2244.0,1991,1,Aguascalientes
0-4,60349.0,61298.0,121647.0,1992,1,Aguascalientes
10-14,52079.0,53487.0,105566.0,1992,1,Aguascalientes
15-19,50077.0,51289.0,101366.0,1992,1,Aguascalientes
20-24,44807.0,44266.0,89073.0,1992,1,Aguascalientes
25-29,37120.0,35889.0,73009.0,1992,1,Aguascalientes
30-34,30215.0,29131.0,59346.0,1992,1,Aguascalientes
35-39,24472.0,23492.0,47964.0,1992,1,Aguascalientes
40-44,19227.0,18237.0,37464.0,1992,1,Aguascalientes
45-49,15056.0,14109.0,29165.0,1992,1,Aguascalientes
5-9,54567.0,54916.0,109483.0,1992,1,Aguascalientes
50-54,11737.0,10909.0,22646.0,1992,1,Aguascalientes
55-59,9518.0,8841.0,18359.0,1992,1,Aguascalientes
60-64,8139.0,7425.0,15564.0,1992,1,Aguascalientes
65-69,6529.0,5983.0,12512.0,1992,1,Aguascalientes
70-74,4704.0,4260.0,8964.0,1992,1,Aguascalientes
75-79,2977.0,2632.0,5609.0,1992,1,Aguascalientes
80-84,1882.0,1567.0,3449.0,1992,1,Aguascalientes
85plus,1418.0,1093.0,2511.0,1992,1,Aguascalientes
0-4,61221.0,62318.0,123539.0,1993,1,Aguascalientes
10-14,52376.0,53566.0,105942.0,1993,1,Aguascalientes
15-19,50554.0,51680.0,102234.0,1993,1,Aguascalientes
20-24,45860.0,45257.0,91117.0,1993,1,Aguascalientes
25-29,38405.0,36988.0,75393.0,1993,1,Aguascalientes
30-34,31318.0,30092.0,61410.0,1993,1,Aguascalientes
35-39,25509.0,24448.0,49957.0,1993,1,Aguascalientes
40-44,20125.0,19050.0,39175.0,1993,1,Aguascalientes
45-49,15734.0,14728.0,30462.0,1993,1,Aguascalientes
5-9,55316.0,55650.0,110966.0,1993,1,Aguascalientes
