AgeGroup,Females,Males,Total,Year,StateCode,StateName
0-4,58465,59075,117540,1990,1,Aguascalientes
10-14,51387,53154,104541,1990,1,Aguascalientes
15-19,48551,49798,98349,1990,1,Aguascalientes
20-24,42324,41992,84316,1990,1,Aguascalientes
25-29,34496,33603,68099,1990,1,Aguascalientes
30-34,27998,27184,55182,1990,1,Aguascalientes
35-39,22413,21580,43993,1990,1,Aguascalientes
40-44,17587,16666,34253,1990,1,Aguascalientes
45-49,13779,12930,26709,1990,1,Aguascalientes
5-9,53455,54111,107566,1990,1,Aguascalientes
50-54,10896,10164,21060,1990,1,Aguascalientes
55-59,9130,8479,17609,1990,1,Aguascalientes
60-64,7726,7100,14826,1990,1,Aguascalientes
65-69,6065,5600,11665,1990,1,Aguascalientes
70-74,4238,3863,8101,1990,1,Aguascalientes
75-79,2749,2428,5177,1990,1,Aguascalientes
80-84,1779,1485,3264,1990,1,Aguascalientes
85plus,1111,866,1977,1990,1,Aguascalientes
0-4,59378,60160,119538,1991,1,Aguascalientes
10-14,51782,53395,105177,1991,1,Aguascalientes
15-19,49478,50726,100204,1991,1,Aguascalientes
20-24,43670,43187,86857,1991,1,Aguascalientes
25-29,35809,34757,70566,1991,1,Aguascalientes
30-34,29115,28176,57291,1991,1,Aguascalientes
35-39,23449,22552,46001,1991,1,Aguascalientes
40-44,18379,17422,35801,1991,1,Aguascalientes
45-49,14406,13503,27909,1991,1,Aguascalientes
5-9,53922,54369,108291,1991,1,Aguascalientes
50-54,11267,10490,21757,1991,1,Aguascalientes
55-59,9294,8648,17942,1991,1,Aguascalientes
60-64,7948,7257,15205,1991,1,Aguascalientes
65-69,6311,5817,12128,1991,1,Aguascalientes
70-74,4478,4064,8542,1991,1,Aguascalientes
75-79,2835,2505,5340,1991,1,Aguascalientes
80-84,1838,1531,3369,1991,1,Aguascalientes
85plus,1264,980,2244,1991,1,Aguascalientes
0-4,60349,61298,121647,1992,1,Aguascalientes
10-14,52079,53487,105566,1992,1,Aguascalientes
15-19,50077,51289,101366,1992,1,Aguascalientes
20-24,44807,44266,89073,1992,1,Aguascalientes
25-29,37120,35889,73009,1992,1,Aguascalientes
30-34,30215,29131,59346,1992,1,Aguascalientes
35-39,24472,23492,47964,1992,1,Aguascalientes
40-44,19227,18237,37464,1992,1,Aguascalientes
45-49,15056,14109,29165,1992,1,Aguascalientes
5-9,54567,54916,109483,1992,1,Aguascalientes
50-54,11737,10909,22646,1992,1,Aguascalientes
55-59,9518,8841,18359,1992,1,Aguascalientes
60-64,8139,7425,15564,1992,1,Aguascalientes
65-69,6529,5983,12512,1992,1,Aguascalientes
70-74,4704,4260,8964,1992,1,Aguascalientes
75-79,2977,2632,5609,1992,1,Aguascalientes
80-84,1882,1567,3449,1992,1,Aguascalientes
85plus,1418,1093,2511,1992,1,Aguascalientes
0-4,61221,62318,123539,1993,1,Aguascalientes
10-14,52376,53566,105942,1993,1,Aguascalientes
15-19,50554,51680,102234,1993,1,Aguascalientes
20-24,45860,45257,91117,1993,1,Aguascalientes
25-29,38405,36988,75393,1993,1,Aguascalientes
30-34,31318,30092,61410,1993,1,Aguascalientes
35-39,25509,24448,49957,1993,1,Aguascalientes
40-44,20125,19050,39175,1993,1,Aguascalientes
45-49,15734,14728,30462,1993,1,Aguascalientes
5-9,55316,55650,110966,1993,1,Aguascalientes
50-54,12246,11378,23624,1993,1,Aguascalientes
55-59,9793,9059,18852,1993,1,Aguascalientes
60-64,8303,7595,15898,1993,1,Aguascalientes
65-69,6742,6128,12870,1993,1,Aguascalientes
70-74,4937,4462,9399,1993,1,Aguascalientes
75-79,3151,2771,5922,1993,1,Aguascalientes
80-84,1927,1617,3544,1993,1,Aguascalientes
85plus,1522,1169,2691,1993,1,Aguascalientes
0-4,61944,63192,125136,1994,1,Aguascalientes
10-14,52723,53699,106422,1994,1,Aguascalientes
15-19,50964,51923,102887,1994,1,Aguascalientes
20-24,46808,46101,92909,1994,1,Aguascalientes
25-29,39676,38068,77744,1994,1,Aguascalientes
30-34,32471,31041,63512,1994,1,Aguascalientes
35-39,26554,25369,51923,1994,1,Aguascalientes
40-44,21058,19921,40979,1994,1,Aguascalientes
45-49,16443,15366,31809,1994,1,Aguascalientes
5-9,56155,56525,112680,1994,1,Aguascalientes
50-54,12801,11882,24683,1994,1,Aguascalientes
55-59,10092,9318,19410,1994,1,Aguascalientes
60-64,8465,7759,16224,1994,1,Aguascalientes
65-69,6939,6268,13207,1994,1,Aguascalientes
70-74,5176,4648,9824,1994,1,Aguascalientes
75-79,3333,2921,6254,1994,1,Aguascalientes
80-84,1993,1666,3659,1994,1,Aguascalientes
85plus,1623,1243,2866,1994,1,Aguascalientes
0-4,62533,63912,126445,1995,1,Aguascalientes
10-14,53173,53909,107082,1995,1,Aguascalientes
15-19,51316,52010,103326,1995,1,Aguascalientes
20-24,47633,46783,94416,1995,1,Aguascalientes
25-29,40931,39060,79991,1995,1,Aguascalientes
30-34,33684,32023,65707,1995,1,Aguascalientes
35-39,27587,26262,53849,1995,1,Aguascalientes
40-44,22030,20821,42851,1995,1,Aguascalientes
45-49,17180,16035,33215,1995,1,Aguascalientes
5-9,57049,57500,114549,1995,1,Aguascalientes
50-54,13387,12417,25804,1995,1,Aguascalientes
55-59,10447,9622,20069,1995,1,Aguascalientes
60-64,8634,7912,16546,1995,1,Aguascalientes
65-69,7126,6408,13534,1995,1,Aguascalientes
70-74,5394,4826,10220,1995,1,Aguascalientes
75-79,3526,3081,6607,1995,1,Aguascalientes
80-84,2061,1721,3782,1995,1,Aguascalientes
85plus,1733,1322,3055,1995,1,Aguascalientes
0-4,62982,64472,127454,1996,1,Aguascalientes
10-14,53720,54217,107937,1996,1,Aguascalientes
15-19,51606,51969,103575,1996,1,Aguascalientes
20-24,48328,47232,95560,1996,1,Aguascalientes
25-29,42111,39936,82047,1996,1,Aguascalientes
30-34,34944,33023,67967,1996,1,Aguascalientes
35-39,28647,27110,55757,1996,1,Aguascalientes
40-44,23024,21688,44712,1996,1,Aguascalientes
45-49,17959,16752,34711,1996,1,Aguascalientes
5-9,58004,58539,116543,1996,1,Aguascalientes
50-54,13996,12957,26953,1996,1,Aguascalientes
55-59,10853,9964,20817,1996,1,Aguascalientes
60-64,8812,8072,16884,1996,1,Aguascalientes
65-69,7327,6553,13880,1996,1,Aguascalientes
70-74,5593,4991,10584,1996,1,Aguascalientes
75-79,3724,3237,6961,1996,1,Aguascalientes
80-84,2142,1791,3933,1996,1,Aguascalientes
85plus,1835,1397,3232,1996,1,Aguascalientes
0-4,63294,64895,128189,1997,1,Aguascalientes
10-14,54347,54661,109008,1997,1,Aguascalientes
15-19,51858,51854,103712,1997,1,Aguascalientes
20-24,48889,47435,96324,1997,1,Aguascalientes
25-29,43203,40701,83904,1997,1,Aguascalientes
30-34,36225,33974,70199,1997,1,Aguascalientes
35-39,29720,27937,57657,1997,1,Aguascalientes
40-44,24025,22542,46567,1997,1,Aguascalientes
45-49,18799,17500,36299,1997,1,Aguascalientes
5-9,58986,59550,118536,1997,1,Aguascalientes
50-54,14632,13518,28150,1997,1,Aguascalientes
55-59,11300,10350,21650,1997,1,Aguascalientes
60-64,9026,8239,17265,1997,1,Aguascalientes
65-69,7513,6698,14211,1997,1,Aguascalientes
70-74,5783,5137,10920,1997,1,Aguascalientes
75-79,3917,3395,7312,1997,1,Aguascalientes
80-84,2258,1879,4137,1997,1,Aguascalientes
85plus,1934,1469,3403,1997,1,Aguascalientes
0-4,63516,65171,128687,1998,1,Aguascalientes
10-14,55083,55286,110369,1998,1,Aguascalientes
15-19,52128,51718,103846,1998,1,Aguascalientes
20-24,49353,47427,96780,1998,1,Aguascalientes
25-29,44254,41337,85591,1998,1,Aguascalientes
30-34,37494,34870,72364,1998,1,Aguascalientes
35-39,30815,28771,59586,1998,1,Aguascalientes
40-44,25046,23395,48441,1998,1,Aguascalientes
45-49,19684,18267,37951,1998,1,Aguascalientes
5-9,59895,60430,120325,1998,1,Aguascalientes
50-54,15289,14085,29374,1998,1,Aguascalientes
55-59,11788,10786,22574,1998,1,Aguascalientes
60-64,9282,8429,17711,1998,1,Aguascalientes
65-69,7673,6844,14517,1998,1,Aguascalientes
70-74,5968,5260,11228,1998,1,Aguascalientes
75-79,4112,3551,7663,1998,1,Aguascalientes
80-84,2392,1978,4370,1998,1,Aguascalientes
85plus,2026,1537,3563,1998,1,Aguascalientes
0-4,63687,65231,128918,1999,1,Aguascalientes
10-14,55966,56140,112106,1999,1,Aguascalientes
15-19,52476,51630,104106,1999,1,Aguascalientes
20-24,49679,47163,96842,1999,1,Aguascalientes
25-29,45159,41813,86972,1999,1,Aguascalientes
30-34,38742,35779,74521,1999,1,Aguascalientes
35-39,31933,29621,61554,1999,1,Aguascalientes
