Females,Males,Total,Year,StateCode,StateName
414149,410078,824227,1990,1,Aguascalientes
424623,419539,844162,1991,1,Aguascalientes
434873,428824,863697,1992,1,Aguascalientes
445039,437956,882995,1993,1,Aguascalientes
455218,446910,902128,1994,1,Aguascalientes
465424,455624,921048,1995,1,Aguascalientes
475607,463900,939507,1996,1,Aguascalientes
485709,471734,957443,1997,1,Aguascalientes
495798,479142,974940,1998,1,Aguascalientes
505672,486186,991858,1999,1,Aguascalientes
514964,493483,1008447,2000,1,Aguascalientes
524255,501308,1025563,2001,1,Aguascalientes
534293,509490,1043783,2002,1,Aguascalientes
544515,517735,1062250,2003,1,Aguascalientes
554126,525688,1079814,2004,1,Aguascalientes
563313,533423,1096736,2005,1,Aguascalientes
572695,541404,1114099,2006,1,Aguascalientes
582613,550419,1133032,2007,1,Aguascalientes
593126,560885,1154011,2008,1,Aguascalientes
603633,572309,1175942,2009,1,Aguascalientes
613433,582355,1195787,2010,1,Aguascalientes
622770,592325,1215094,2011,1,Aguascalientes
632249,601671,1233921,2012,1,Aguascalientes
641585,610680,1252265,2013,1,Aguascalientes
650783,619392,1270174,2014,1,Aguascalientes
659837,627824,1287660,2015,1,Aguascalientes
668746,635998,1304744,2016,1,Aguascalientes
677513,643940,1321453,2017,1,Aguascalientes
686136,651657,1337792,2018,1,Aguascalientes
694607,659152,1353758,2019,1,Aguascalientes
702908,666398,1369306,2020,1,Aguascalientes
711063,673471,1384534,2021,1,Aguascalientes
719091,680439,1399529,2022,1,Aguascalientes
726972,687252,1414225,2023,1,Aguascalientes
734705,693912,1428617,2024,1,Aguascalientes
742280,700413,1442693,2025,1,Aguascalientes
749689,706745,1456433,2026,1,Aguascalientes
756922,712902,1469824,2027,1,Aguascalientes
763978,718883,1482861,2028,1,Aguascalientes
770853,724689,1495542,2029,1,Aguascalientes
777518,730290,1507807,2030,1,Aguascalientes
834312,898238,1732550,1990,2,Baja California
876112,939791,1815903,1991,2,Baja California
916516,979132,1895648,1992,2,Baja California
957583,1018688,1976271,1993,2,Baja California
999353,1058845,2058198,1994,2,Baja California
1041795,1099436,2141231,1995,2,Baja California
1084678,1139608,2224286,1996,2,Baja California
1127406,1179018,2306424,1997,2,Baja California
1169822,1217828,2387650,1998,2,Baja California
1212241,1256979,2469220,1999,2,Baja California
1253491,1296351,2549842,2000,2,Baja California
1293002,1334366,2627368,2001,2,Baja California
1331837,1370995,2702832,2002,2,Baja California
1369598,1406328,2775926,2003,2,Baja California
1405663,1440273,2845936,2004,2,Baja California
1440116,1472558,2912674,2005,2,Baja California
1473688,1503752,2977440,2006,2,Baja California
1506745,1535038,3041783,2007,2,Baja California
1539184,1566525,3105709,2008,2,Baja California
1570682,1597637,3168319,2009,2,Baja California
1599004,1625840,3224844,2010,2,Baja California
1625419,1649980,3275399,2011,2,Baja California
1653068,1675555,3328623,2012,2,Baja California
1680487,1700593,3381080,2013,2,Baja California
1707679,1725265,3432944,2014,2,Baja California
1734633,1749517,3484150,2015,2,Baja California
1761331,1773357,3534688,2016,2,Baja California
1787757,1796848,3584605,2017,2,Baja California
1813891,1819882,3633772,2018,2,Baja California
1839708,1842355,3682063,2019,2,Baja California
1865087,1864138,3729225,2020,2,Baja California
1890185,1885581,3775765,2021,2,Baja California
1915149,1907002,3822151,2022,2,Baja California
1939841,1928160,3868001,2023,2,Baja California
1964235,1949030,3913266,2024,2,Baja California
1988299,1969579,3957878,2025,2,Baja California
2011988,1989764,4001752,2026,2,Baja California
2035283,2009565,4044848,2027,2,Baja California
2058172,2028974,4087146,2028,2,Baja California
2080645,2047979,4128624,2029,2,Baja California
2102679,2066561,4169240,2030,2,Baja California
158748,180639,339387,1990,3,Baja California Sur
164611,186635,351246,1991,3,Baja California Sur
170616,192691,363307,1992,3,Baja California Sur
176747,198788,375535,1993,3,Baja California Sur
183001,204993,387994,1994,3,Baja California Sur
189393,211274,400667,1995,3,Baja California Sur
195955,217620,413575,1996,3,Baja California Sur
202661,223992,426653,1997,3,Baja California Sur
209473,230438,439911,1998,3,Baja California Sur
216371,236969,453340,1999,3,Baja California Sur
223130,243325,466455,2000,3,Baja California Sur
230224,249966,480190,2001,3,Baja California Sur
238130,257392,495522,2002,3,Baja California Sur
246536,265295,511831,2003,3,Baja California Sur
255422,273702,529124,2004,3,Baja California Sur
264539,282237,546776,2005,3,Baja California Sur
273985,291039,565024,2006,3,Baja California Sur
284080,300559,584639,2007,3,Baja California Sur
294682,310661,605343,2008,3,Baja California Sur
305663,321237,626900,2009,3,Baja California Sur
317191,332426,649616,2010,3,Baja California Sur
329024,343659,672682,2011,3,Baja California Sur
340655,354754,695409,2012,3,Baja California Sur
352332,365864,718196,2013,3,Baja California Sur
364051,376986,741037,2014,3,Baja California Sur
375809,388120,763929,2015,3,Baja California Sur
387601,399263,786864,2016,3,Baja California Sur
399422,410411,809833,2017,3,Baja California Sur
411267,421560,832827,2018,3,Baja California Sur
423129,432705,855834,2019,3,Baja California Sur
434999,443831,878830,2020,3,Baja California Sur
446873,454946,901819,2021,3,Baja California Sur
458751,466058,924809,2022,3,Baja California Sur
470624,477152,947775,2023,3,Baja California Sur
482483,488221,970704,2024,3,Baja California Sur
494320,499257,993577,2025,3,Baja California Sur
506125,510249,1016374,2026,3,Baja California Sur
517889,521188,1039077,2027,3,Baja California Sur
529605,532067,1061671,2028,3,Baja California Sur
541264,542879,1084142,2029,3,Baja California Sur
552856,553612,1106468,2030,3,Baja California Sur
273993,279113,553106,1990,4,Campeche
282248,286136,568384,1991,4,Campeche
290470,293460,583930,1992,4,Campeche
298589,300746,599335,1993,4,Campeche
306662,308032,614694,1994,4,Campeche
314638,315259,629897,1995,4,Campeche
322444,322374,644818,1996,4,Campeche
330084,329333,659417,1997,4,Campeche
337583,336089,673672,1998,4,Campeche
344825,342597,687422,1999,4,Campeche
351765,348943,700708,2000,4,Campeche
358687,355321,714008,2001,4,Campeche
365745,361801,727546,2002,4,Campeche
372828,368285,741113,2003,4,Campeche
379855,374767,754622,2004,4,Campeche
386856,381241,768097,2005,4,Campeche
393902,387718,781620,2006,4,Campeche
401062,394388,795450,2007,4,Campeche
408349,401287,809636,2008,4,Campeche
415707,408364,824071,2009,4,Campeche
423019,413729,836748,2010,4,Campeche
430183,422190,852373,2011,4,Campeche
437391,428985,866375,2012,4,Campeche
444574,435725,880299,2013,4,Campeche
451726,442410,894136,2014,4,Campeche
458840,449038,907878,2015,4,Campeche
465909,455608,921517,2016,4,Campeche
472929,462117,935047,2017,4,Campeche
479894,468565,948459,2018,4,Campeche
486798,474947,961744,2019,4,Campeche
493629,481249,974877,2020,4,Campeche
500390,487485,987875,2021,4,Campeche
507088,493668,1000757,2022,4,Campeche
513715,499787,1013503,2023,4,Campeche
520269,505841,1026111,2024,4,Campeche
526749,511827,1038576,2025,4,Campeche
533150,517743,1050893,2026,4,Campeche
539469,523587,1063056,2027,4,Campeche
545708,529359,1075067,2028,4,Campeche
551867,535062,1086928,2029,4,Campeche
557943,540693,1098636,2030,4,Campeche
1648316,1666559,3314875,1990,7,Chiapas
1693308,1701872,3395180,1991,7,Chiapas
1738166,1738747,3476913,1992,7,Chiapas
1783257,1776264,3559521,1993,7,Chiapas
1829068,1815743,3644811,1994,7,Chiapas
1875445,1856574,3732019,1995,7,Chiapas
1921936,1897803,3819739,1996,7,Chiapas
1968199,1939103,3907302,1997,7,Chiapas
2014159,1980166,3994325,1998,7,Chiapas
2060906,2022504,4083410,1999,7,Chiapas
2104060,2060793,4164853,2000,7,Chiapas
2144201,2095629,4239830,2001,7,Chiapas
2186237,2132711,4318948,2002,7,Chiapas
2227940,2169327,4397267,2003,7,Chiapas
2269585,2207001,4476586,2004,7,Chiapas
2308360,2240674,4549034,2005,7,Chiapas
2345143,2271056,4616199,2006,7,Chiapas
2383566,2304448,4688014,2007,7,Chiapas
2422511,2339569,4762080,2008,7,Chiapas
2460953,2375373,4836326,2009,7,Chiapas
2499125,2404629,4903755,2010,7,Chiapas
2535884,2444749,4980633,2011,7,Chiapas
2572518,2478050,5050568,2012,7,Chiapas
2608597,2510589,5119186,2013,7,Chiapas
2644154,2542418,5186572,2014,7,Chiapas
2679221,2573587,5252808,2015,7,Chiapas
2713821,2604139,5317960,2016,7,Chiapas
2747972,2634110,5382083,2017,7,Chiapas
2781694,2663539,5445233,2018,7,Chiapas
2814991,2692449,5507440,2019,7,Chiapas
2847845,2720803,5568648,2020,7,Chiapas
2880259,2748687,5628946,2021,7,Chiapas
2912242,2776183,5688425,2022,7,Chiapas
2943776,2803243,5747019,2023,7,Chiapas
2974847,2829863,5804709,2024,7,Chiapas
3005427,2856023,5861450,2025,7,Chiapas
3035484,2881696,5917180,2026,7,Chiapas
3064990,2906865,5971855,2027,7,Chiapas
3093937,2931524,6025461,2028,7,Chiapas
3122313,2955670,6077983,2029,7,Chiapas
3150014,2979204,6129218,2030,7,Chiapas
1182944,1225056,2408000,1990,8,Chihuahua
1212494,1252828,2465322,1991,8,Chihuahua
1242067,1279887,2521954,1992,8,Chihuahua
1271913,1307033,2578946,1993,8,Chihuahua
1302460,1334477,2636937,1994,8,Chihuahua
1333548,1361761,2695309,1995,8,Chihuahua
1364968,1388314,2753282,1996,8,Chihuahua
1396618,1414147,2810765,1997,8,Chihuahua
1428740,1439606,2868346,1998,8,Chihuahua
1461385,1465613,2926998,1999,8,Chihuahua
1494007,1493920,2987927,2000,8,Chihuahua
1525960,1522728,3048688,2001,8,Chihuahua
1557759,1550133,3107892,2002,8,Chihuahua
1588967,1576487,3165454,2003,8,Chihuahua
1617860,1601005,3218865,2004,8,Chihuahua
1645547,1624762,3270309,2005,8,Chihuahua
1673495,1648944,3322439,2006,8,Chihuahua
1701640,1674904,3376544,2007,8,Chihuahua
1729778,1701739,3431517,2008,8,Chihuahua
1757065,1728028,3485093,2009,8,Chihuahua
1780238,1745035,3525273,2010,8,Chihuahua
1800481,1758767,3559248,2011,8,Chihuahua
1821877,1776915,3598792,2012,8,Chihuahua
1842759,1793208,3635966,2013,8,Chihuahua
1863254,1810088,3673342,2014,8,Chihuahua
1883313,1826816,3710129,2015,8,Chihuahua
1902943,1843339,3746281,2016,8,Chihuahua
1922189,1859828,3782018,2017,8,Chihuahua
1941013,1875852,3816865,2018,8,Chihuahua
1959375,1891053,3850428,2019,8,Chihuahua
1977199,1905540,3882739,2020,8,Chihuahua
1994709,1919695,3914404,2021,8,Chihuahua
2012114,1933858,3945972,2022,8,Chihuahua
2029274,1947811,3977085,2023,8,Chihuahua
2046173,1961539,4007711,2024,8,Chihuahua
2062772,1975006,4037778,2025,8,Chihuahua
2079023,1988163,4067186,2026,8,Chihuahua
2094911,2000999,4095910,2027,8,Chihuahua
2110435,2013514,4123949,2028,8,Chihuahua
2125581,2025697,4151277,2029,8,Chihuahua
2140307,2037508,4177815,2030,8,Chihuahua
999384,1005632,2005016,1990,5,Coahuila
1018955,1023609,2042564,1991,5,Coahuila
1038711,1041996,2080707,1992,5,Coahuila
1058694,1060626,2119320,1993,5,Coahuila
1078942,1079461,2158403,1994,5,Coahuila
1099420,1098324,2197744,1995,5,Coahuila
1120007,1117018,2237025,1996,5,Coahuila
1140694,1135574,2276268,1997,5,Coahuila
1161481,1153931,2315412,1998,5,Coahuila
1182164,1172266,2354430,1999,5,Coahuila
1202519,1191237,2393756,2000,5,Coahuila
1222715,1210527,2433242,2001,5,Coahuila
1243312,1229609,2472921,2002,5,Coahuila
1263900,1248361,2512261,2003,5,Coahuila
1283715,1266493,2550208,2004,5,Coahuila
1303137,1284381,2587518,2005,5,Coahuila
1322785,1302547,2625332,2006,5,Coahuila
1342721,1321298,2664019,2007,5,Coahuila
1363011,1340894,2703905,2008,5,Coahuila
1383233,1360733,2743966,2009,5,Coahuila
1402662,1379351,2782013,2010,5,Coahuila
1421260,1396817,2818077,2011,5,Coahuila
1439971,1414363,2854334,2012,5,Coahuila
1458442,1431666,2890108,2013,5,Coahuila
1476700,1448894,2925594,2014,5,Coahuila
1494737,1465945,2960681,2015,5,Coahuila
1512557,1482816,2995374,2016,5,Coahuila
1530175,1499565,3029740,2017,5,Coahuila
1547578,1516084,3063662,2018,5,Coahuila
1564745,1532269,3097014,2019,5,Coahuila
1581651,1548132,3129782,2020,5,Coahuila
1598319,1563733,3162053,2021,5,Coahuila
1614776,1579136,3193912,2022,5,Coahuila
1630986,1594291,3225277,2023,5,Coahuila
1646930,1609181,3256111,2024,5,Coahuila
1662587,1623782,3286369,2025,5,Coahuila
1677934,1638074,3316008,2026,5,Coahuila
1692959,1652046,3345005,2027,5,Coahuila
1707650,1665690,3373340,2028,5,Coahuila
1721996,1678995,3400991,2029,5,Coahuila
1735957,1691922,3427879,2030,5,Coahuila
231680,241435,473115,1990,6,Colima
