StateCode,State,StateName
1,Aguascalientes,Aguascalientes
2,BajaCalifornia,Baja California
3,BajaCaliforniaSur,Baja California Sur
4,Campeche,Campeche
5,Coahuila,Coahuila
6,Colima,Colima
7,Chiapas,Chiapas
8,Chihuahua,Chihuahua
9,DistritoFederal,Distrito Federal
10,Durango,Durango
11,Guanajuato,Guanajuato
12,Guerrero,Guerrero
13,Hidalgo,Hidalgo
14,Jalisco,Jalisco
15,Mexico,México
16,Michoacan,Michoacán
17,Morelos,Morelos
18,Nayarit,Nayarit
19,NuevoLeon,Nuevo León
20,Oaxaca,Oaxaca
21,Puebla,Puebla
22,Queretaro,Querétaro
23,QuintanaRoo,Quintana Roo
24,SanLuisPotosi,San Luis Potosí
25,Sinaloa,Sinaloa
26,Sonora,Sonora
27,Tabasco,Tabasco
28,Tamaulipas,Tamaulipas
29,Tlaxcala,Tlaxcala
30,Veracruz,Veracruz
31,Yucatan,Yucatán
32,Zacatecas,Zacatecas
